14:27:42.968 [reactor-http-nio-2] ERROR c.r.g.h.GatewayExceptionHandler - [handle,52] - [网关异常处理]请求路径:/,异常信息:404 NOT_FOUND
15:00:55.760 [reactor-http-nio-2] ERROR c.r.g.h.GatewayExceptionHandler - [handle,52] - [网关异常处理]请求路径:/code,异常信息:Cannot invoke "java.lang.Boolean.booleanValue()" because the return value of "com.ruoyi.gateway.config.properties.CaptchaProperties.getEnabled()" is null
15:01:14.024 [reactor-http-nio-3] ERROR c.r.g.h.GatewayExceptionHandler - [handle,52] - [网关异常处理]请求路径:/code,异常信息:Cannot invoke "java.lang.Boolean.booleanValue()" because the return value of "com.ruoyi.gateway.config.properties.CaptchaProperties.getEnabled()" is null
15:02:48.085 [reactor-http-nio-4] ERROR c.r.g.h.GatewayExceptionHandler - [handle,52] - [网关异常处理]请求路径:/auth/login,异常信息:404 NOT_FOUND
15:02:48.324 [reactor-http-nio-5] ERROR c.r.g.h.GatewayExceptionHandler - [handle,52] - [网关异常处理]请求路径:/code,异常信息:Cannot invoke "java.lang.Boolean.booleanValue()" because the return value of "com.ruoyi.gateway.config.properties.CaptchaProperties.getEnabled()" is null
15:04:53.431 [reactor-http-nio-6] ERROR c.r.g.h.GatewayExceptionHandler - [handle,52] - [网关异常处理]请求路径:/code,异常信息:Cannot invoke "java.lang.Boolean.booleanValue()" because the return value of "com.ruoyi.gateway.config.properties.CaptchaProperties.getEnabled()" is null
15:05:08.601 [reactor-http-nio-7] ERROR c.r.g.h.GatewayExceptionHandler - [handle,52] - [网关异常处理]请求路径:/code,异常信息:Cannot invoke "java.lang.Boolean.booleanValue()" because the return value of "com.ruoyi.gateway.config.properties.CaptchaProperties.getEnabled()" is null
15:07:30.389 [reactor-http-nio-8] ERROR c.r.g.h.GatewayExceptionHandler - [handle,52] - [网关异常处理]请求路径:/code,异常信息:Cannot invoke "java.lang.Boolean.booleanValue()" because the return value of "com.ruoyi.gateway.config.properties.CaptchaProperties.getEnabled()" is null
15:11:17.393 [reactor-http-nio-9] ERROR c.r.g.h.GatewayExceptionHandler - [handle,52] - [网关异常处理]请求路径:/auth/login,异常信息:404 NOT_FOUND
15:11:17.639 [reactor-http-nio-10] ERROR c.r.g.h.GatewayExceptionHandler - [handle,52] - [网关异常处理]请求路径:/code,异常信息:Cannot invoke "java.lang.Boolean.booleanValue()" because the return value of "com.ruoyi.gateway.config.properties.CaptchaProperties.getEnabled()" is null
15:12:54.513 [reactor-http-nio-11] ERROR c.r.g.h.GatewayExceptionHandler - [handle,52] - [网关异常处理]请求路径:/code,异常信息:Cannot invoke "java.lang.Boolean.booleanValue()" because the return value of "com.ruoyi.gateway.config.properties.CaptchaProperties.getEnabled()" is null
15:23:48.115 [reactor-http-nio-12] ERROR c.r.g.h.GatewayExceptionHandler - [handle,52] - [网关异常处理]请求路径:/code,异常信息:Cannot invoke "java.lang.Boolean.booleanValue()" because the return value of "com.ruoyi.gateway.config.properties.CaptchaProperties.getEnabled()" is null
15:23:56.287 [reactor-http-nio-13] ERROR c.r.g.h.GatewayExceptionHandler - [handle,52] - [网关异常处理]请求路径:/code,异常信息:Cannot invoke "java.lang.Boolean.booleanValue()" because the return value of "com.ruoyi.gateway.config.properties.CaptchaProperties.getEnabled()" is null
